#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2EC34
#Date Time: 2026-03-31 19:17:03.346
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 800 mV
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V)
-4.625e-05,1.105508677958802
-4.5e-05,1.112792899568627
-4.375e-05,1.098224456348977
-4.25e-05,1.098224456348977
-4.125e-05,1.087298123934239
-4e-05,1.083656013129326
-3.875e-05,1.076371791519501
-3.75e-05,1.069087569909676
-3.625e-05,1.058161237494939
-3.5e-05,1.039950683470376
-3.375e-05,1.050877015885113
-3.25e-05,1.036308572665463
-3.125e-05,1.021740129445813
-3e-05,1.021740129445813
-2.875e-05,1.007171686226162
-2.75e-05,0.9926032430065118
-2.625e-05,0.9889611322015992
-2.5e-05,0.9853190213966866
-2.375e-05,0.9743926889819489
-2.25e-05,0.9743926889819489
-2.125e-05,0.963466356567211
-2e-05,0.9525400241524733
-1.875e-05,0.9488979133475607
-1.75e-05,0.9416136917377356
-1.625e-05,0.937971580932823
-1.5e-05,0.91976102690826
-1.375e-05,0.9161189161033474
-1.25e-05,0.9124768052984348
-1.125e-05,0.9015504728836971
-1e-05,0.9015504728836971
-8.749999999999999e-06,0.8906241404689592
-7.5e-06,0.8724135864443963
-6.25e-06,0.8614872540296585
-5e-06,0.8578451432247459
-3.75e-06,0.8505609216149208
-2.5e-06,0.8505609216149208
-1.25e-06,0.839634589200183
0,0.8323503675903579
1.25e-06,0.8250661459805326
2.5e-06,0.8104977027608823
3.75e-06,0.8032134811510571
5e-06,0.8104977027608823
6.25e-06,0.7922871487363193
7.5e-06,0.7850029271264941
8.749999999999999e-06,0.7667923731019312
1e-05,0.777718705516669
1.125e-05,0.759508151492106
1.25e-05,0.7558660406871934
1.375e-05,0.7449397082724557
1.5e-05,0.7340133758577179
1.625e-05,0.7340133758577179
1.75e-05,0.7303712650528053
1.875e-05,0.7194449326380675
2e-05,0.7048764894184172
2.125e-05,0.7085186002233298
2.25e-05,0.6830238245889416
2.375e-05,0.6830238245889416
2.5e-05,0.679381713784029
2.625e-05,0.6720974921742039
2.75e-05,0.6611711597594661
2.875e-05,0.6538869381496409
3e-05,0.6466027165398157
3.125e-05,0.6393184949299905
3.25e-05,0.6247500517103401
3.375e-05,0.617465830100515
3.5e-05,0.617465830100515
3.625e-05,0.6065394976857772
3.75e-05,0.6065394976857772
3.875e-05,0.5992552760759521
4e-05,0.5919710544661269
4.125e-05,0.5774026112464765
4.25e-05,0.5737605004415639
4.375e-05,0.5701183896366513
4.5e-05,0.5701183896366513
4.625e-05,0.5519078356120883
4.75e-05,0.5482657248071758
4.875e-05,0.5446236140022632
5e-05,0.537339392392438
5.125e-05,0.5227709491727877
5.25e-05,0.5264130599777003
5.375e-05,0.5118446167580499
5.5e-05,0.5082025059531373
5.625e-05,0.5009182843433121
5.75e-05,0.4936340627334869
5.875e-05,0.4899919519285744
6e-05,0.475423508708924
6.125e-05,0.475423508708924
6.25e-05,0.4644971762941862
6.375e-05,0.4608550654892736
6.499999999999999e-05,0.4462866222696232
6.625e-05,0.4499287330745358
6.75e-05,0.4390024006597981
6.875e-05,0.4353602898548855
6.999999999999999e-05,0.4244339574401477
7.125e-05,0.4207918466352351
7.25e-05,0.4171497358303226
7.375e-05,0.4135076250254099
7.499999999999999e-05,0.4062234034155848
7.625e-05,0.3916549601959344
7.75e-05,0.3916549601959344
7.875e-05,0.3843707385861092
8.000000000000001e-05,0.377086516976284
8.125e-05,0.3734444061713715
8.25e-05,0.3625180737566337
8.375e-05,0.3588759629517211
8.500000000000001e-05,0.3479496305369833
8.625e-05,0.3552338521468085
8.75e-05,0.3479496305369833
